lat,long,surface,pop,municipality,prov
455137,8146,1462,134,Sabbia,VC
451938,81552,1207,240,Salasco,VC
451842,81947,877,174,Sali Vercellese,VC
451417,8041,3158,4063,Saluggia,VC
452114,81457,3068,1917,San Germano Vercellese,VC
45226,81029,5332,9308,Santhia',VC
454739,8644,2261,390,Scopa,VC
454632,8532,1862,454,Scopello,VC
454120,81829,2039,5040,Serravalle Sesia,VC
451354,82719,1813,1179,Stroppiana,VC
45148,81930,1225,637,Tricerro,VC
451145,81746,7060,8217,Trino,VC
452045,81026,4495,3524,Tronzano Vercellese,VC
454357,81952,2866,2416,Valduggia,VC
45493,8157,8871,8025,Varallo,VC
451933,82521,7990,49458,Vercelli,VC
452620,82021,2546,581,Villarboit,VC
452314,82555,1437,1620,Villata,VC
45505,81133,2004,151,Vocca,VC
454042,8339,1451,1039,Agrate Conturbia,NO
454726,82616,1000,891,Ameno,NO
454929,82611,3158,2166,Armeno,NO
454549,83329,1490,15543,Arona,NO
453436,83042,1936,941,Barengo,NO
453417,83826,3936,8140,Bellinzago Novarese,NO
452718,82755,1268,1184,Biandrate,NO
454054,82422,964,1125,Boca,NO
45402,8325,843,1122,Bogogno,NO
454554,82632,327,950,Bolzano Novarese,NO
451914,84158,2121,1863,Borgolavezzaro,NO
45421,82744,3236,19102,Borgomanero,NO
454120,83611,1327,3329,Borgo Ticino,NO
454411,82657,475,2603,Briga Novarese,NO
453237,82847,2474,1117,Briona,NO
45319,83516,2232,2212,Caltignaga,NO
45308,83947,3965,9331,Cameri,NO
453211,8250,1476,2495,Carpignano Sesia,NO
452616,8288,1590,673,Casalbeltrame,NO
452914,82942,1050,766,Casaleggio Novara,NO
452131,83131,3960,1504,Casalino,NO
45243,82753,1743,797,Casalvolone,NO
453053,82919,1077,272,Castellazzo Novarese,NO
45430,83840,1461,7965,Castelletto sopra Ticino,NO
453613,8307,657,407,Cavaglietto,NO
453638,8297,985,1277,Cavaglio d'Agogna,NO
453955,82346,808,1012,Cavallirio,NO
452442,84657,3210,7070,Cerano,NO
454738,82956,309,417,Colazza,NO
454251,83345,438,765,Comignago,NO
453853,83030,711,1448,Cressa,NO
454036,82744,838,2139,Cureggio,NO
453948,8364,524,1093,Divignano,NO
454356,83419,701,2593,Dormelletto,NO
453323,82732,935,2087,Fara Novarese,NO
453838,8291,2119,2472,Fontaneto d'Agogna,NO
452844,84150,2954,13341,Galliate,NO
452311,83942,1009,851,Garbagna Novarese,NO
454348,82525,371,1557,Gargallo,NO
454241,83110,1614,3077,Gattico,NO
453556,82520,2057,3816,Ghemme,NO
454458,8263,1254,5986,Gozzano,NO
452141,83432,1948,1065,Granozzo con Monticello,NO
454115,8208,1462,4724,Grignasco,NO
454531,82918,1740,3493,Invorio,NO
452955,82520,726,633,Landiona,NO
454952,83349,1249,2309,Lesa,NO
454133,8259,1067,1579,Maggiora,NO
452942,82732,588,269,Mandello Vitta,NO
453759,83757,784,1328,Marano Ticino,NO
454922,83222,677,967,Massino Visconti,NO
454728,83218,779,2089,Meina,NO
453721,83620,759,776,Mezzomerico,NO
454817,82539,534,932,Miasino,NO
453428,83317,2368,2881,Momo,NO
454831,83129,824,1299,Nebbiuno,NO
452220,83926,1130,641,Nibbiola,NO
452659,83713,10302,101112,Novara,NO
453555,83817,3780,11314,Oleggio,NO
454511,83150,584,1398,Oleggio Castello,NO
454758,82421,681,1009,Orta San Giulio,NO
45455,83057,536,1396,Paruzzaro,NO
45489,82311,805,1180,Pella,NO
454911,82424,712,1218,Pettenasco,NO
454746,83050,277,595,Pisano,NO
454537,82252,1006,1513,Pogno,NO
45391,8382,1196,1291,Pombia,NO
45390,82234,1235,1928,Prato Sesia,NO
452740,8265,880,854,Recetto,NO
45385,8235,1807,4329,Romagnano Sesia,NO
452748,84315,1774,4401,Romentino,NO
454642,82313,832,2818,San Maurizio d'Opaglio,NO
452627,82524,1150,701,San Nazzaro Sesia,NO
452726,83235,3483,1674,San Pietro Mosezzo,NO
453121,82626,954,588,Sillavengo,NO
453438,82620,1050,1434,Sizzano,NO
454437,82429,629,767,Soriso,NO
452355,84321,1292,732,Sozzago,NO
453755,83231,2132,2734,Suno,NO
452234,84151,849,486,Terdobbiate,NO
452127,84311,1332,839,Tornaco,NO
452555,8447,3842,14845,Trecate,NO
453621,83313,1009,920,Vaprio d'Agogna,NO
